[2024-03-22 19:30:52,513] [INFO] ======= Model Evaluation stage completed successfully ======
[2024-03-22 19:46:06,946] [INFO] Logger configured successfully.
[2024-03-22 19:46:09,839] [INFO] ============= Starting Model Evaluation stage ==============
[2024-03-22 19:46:09,842] [INFO] YAML file 'config\config.yaml' loaded successfully.
[2024-03-22 19:46:09,844] [INFO] YAML file 'params.yaml' loaded successfully.
[2024-03-22 19:46:09,846] [INFO] YAML file 'schema.yaml' loaded successfully.
[2024-03-22 19:46:09,846] [INFO] Directory created at 'artifacts'.
[2024-03-22 19:46:09,848] [INFO] Directory created at 'artifacts/model_evaluation'.
[2024-03-22 19:46:12,752] [INFO] JSON file saved at 'artifacts\model_evaluation\metrics.json'.
[2024-03-22 19:54:39,099] [INFO] ======= Model Evaluation stage completed successfully ======
[2024-03-30 06:39:32,308] [INFO] Logger configured successfully.
[2024-03-30 06:39:32,643] [INFO] ============= Starting Data Ingestion stage ==============
[2024-03-30 06:39:32,656] [INFO] YAML file 'config\config.yaml' loaded successfully.
[2024-03-30 06:39:32,662] [INFO] YAML file 'params.yaml' loaded successfully.
[2024-03-30 06:39:32,666] [INFO] YAML file 'schema.yaml' loaded successfully.
[2024-03-30 06:39:32,667] [INFO] Directory created at 'artifacts'.
[2024-03-30 06:39:32,668] [INFO] Directory created at 'artifacts/data_ingestion'.
[2024-03-30 06:39:32,668] [INFO] File already exists of size: ~ 513 KB
[2024-03-30 06:39:32,668] [INFO] ======= Data Ingestion stage completed successfully ======
[2024-03-30 06:39:39,968] [INFO] Logger configured successfully.
[2024-03-30 06:39:41,302] [INFO] ============= Starting Data Validation stage ==============
[2024-03-30 06:39:41,313] [INFO] YAML file 'config\config.yaml' loaded successfully.
[2024-03-30 06:39:41,318] [INFO] YAML file 'params.yaml' loaded successfully.
[2024-03-30 06:39:41,323] [INFO] YAML file 'schema.yaml' loaded successfully.
[2024-03-30 06:39:41,323] [INFO] Directory created at 'artifacts'.
[2024-03-30 06:39:41,324] [INFO] Directory created at 'artifacts/data_validation'.
[2024-03-30 06:39:41,324] [INFO] Validating schema conformity for file: artifacts/data_ingestion/data.csv
[2024-03-30 06:39:41,376] [INFO] Schema validation successful.
[2024-03-30 06:39:41,377] [INFO] ======= Data Validation stage completed successfully ======
[2024-03-30 06:39:46,266] [INFO] Logger configured successfully.
[2024-03-30 06:39:49,257] [INFO] ============= Starting Data Preprocessing stage ==============
[2024-03-30 06:39:49,265] [INFO] YAML file 'config\config.yaml' loaded successfully.
[2024-03-30 06:39:49,271] [INFO] YAML file 'params.yaml' loaded successfully.
[2024-03-30 06:39:49,274] [INFO] YAML file 'schema.yaml' loaded successfully.
[2024-03-30 06:39:49,275] [INFO] Directory created at 'artifacts'.
